Player,Season,Team,Location,Opp Team,Date,Result,Mins Played,Field Goal,Field Goal Att,Field Goal %,3 Point Field Goal,3 Point Field Goal Att,3 Point Field Goal %,Free Throw,Free Throw Att,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Usage %,True Shooting %,Effective Fg %,Total Rebound %,Assist %,Offensive Rating,Defensive Rating,Game Score,Playoffs,Championship Season
Lebron James,2005-2006,CLE,@,SEA,2005-12-02,L,45:07,14.0,27.0,0.519,0.0,5.0,0.0,6.0,8.0,0.75,3.0,8.0,1.0,3.0,1.0,34.0,32.2,0.557,0.519,4.7,38.5,123.0,127.0,28.1,False,False
Lebron James,2005-2006,CLE,@,LAC,2005-12-03,L,44:41,8.0,25.0,0.32,3.0,5.0,0.6,11.0,14.0,0.786,5.0,6.0,1.0,1.0,1.0,30.0,32.6,0.481,0.38,5.7,28.8,110.0,114.0,19.7,False,False
Lebron James,2005-2006,CLE,@,SAC,2005-12-06,W,44:19,10.0,23.0,0.435,1.0,5.0,0.2,9.0,12.0,0.75,6.0,6.0,2.0,3.0,5.0,30.0,35.4,0.53,0.457,8.6,24.8,107.0,106.0,21.8,False,False
Lebron James,2005-2006,CLE,0,NJN,2005-12-09,L,44:49,11.0,26.0,0.423,0.0,4.0,0.0,10.0,15.0,0.667,6.0,3.0,0.0,1.0,7.0,32.0,40.3,0.491,0.423,8.5,14.5,89.0,122.0,13.4,False,False
Lebron James,2005-2006,CLE,@,MIL,2005-12-10,L,42:48,19.0,29.0,0.655,5.0,9.0,0.556,9.0,10.0,0.9,7.0,7.0,2.0,0.0,3.0,52.0,42.5,0.778,0.741,11.4,50.0,147.0,120.0,42.9,False,False
Lebron James,2005-2006,CLE,0,ATL,2005-12-13,L,45:08,13.0,23.0,0.565,3.0,6.0,0.5,10.0,16.0,0.625,10.0,6.0,2.0,0.0,6.0,39.0,35.9,0.649,0.63,12.5,30.1,116.0,105.0,26.9,False,False
Lebron James,2005-2006,CLE,0,DEN,2005-12-15,W,45:06,11.0,18.0,0.611,1.0,4.0,0.25,3.0,6.0,0.5,4.0,9.0,1.0,0.0,3.0,26.0,25.8,0.63,0.639,5.8,41.1,124.0,102.0,20.9,False,False
Lebron James,2005-2006,CLE,0,MIA,2005-12-17,W,46:23,12.0,19.0,0.632,2.0,4.0,0.5,15.0,16.0,0.938,5.0,10.0,1.0,0.0,4.0,41.0,30.0,0.787,0.684,6.6,37.5,145.0,113.0,36.4,False,False
Lebron James,2005-2006,CLE,0,UTA,2005-12-20,W,28:55,8.0,12.0,0.667,1.0,1.0,1.0,8.0,9.0,0.889,6.0,4.0,3.0,2.0,5.0,25.0,35.4,0.783,0.708,15.8,29.2,128.0,86.0,23.8,False,False
Lebron James,2005-2006,CLE,@,CHI,2005-12-22,W,43:51,12.0,25.0,0.48,4.0,6.0,0.667,9.0,13.0,0.692,5.0,6.0,4.0,0.0,2.0,37.0,34.8,0.602,0.56,7.2,34.8,124.0,104.0,29.6,False,False
