Player,Season,Team,Location,Opp Team,Date,Result,Mins Played,Field Goal,Field Goal Att,Field Goal %,3 Point Field Goal,3 Point Field Goal Att,3 Point Field Goal %,Free Throw,Free Throw Att,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Usage %,True Shooting %,Effective Fg %,Total Rebound %,Assist %,Offensive Rating,Defensive Rating,Game Score,Playoffs,Championship Season
Lebron James,2007-2008,CLE,@,TOR,2008-01-06,W,45:44,14.0,29.0,0.483,4.0,8.0,0.5,7.0,12.0,0.583,11.0,8.0,0.0,0.0,1.0,39.0,34.9,0.569,0.552,13.6,41.3,138.0,110.0,31.0,False,False
Lebron James,2007-2008,CLE,0,SEA,2008-01-08,W,35:10,8.0,18.0,0.444,0.0,3.0,0.0,6.0,6.0,1.0,8.0,3.0,2.0,0.0,4.0,22.0,31.3,0.533,0.444,12.0,17.7,98.0,83.0,15.1,False,False
Lebron James,2007-2008,CLE,@,ATL,2008-01-09,L,43:23,13.0,22.0,0.591,0.0,4.0,0.0,5.0,9.0,0.556,10.0,6.0,3.0,1.0,3.0,31.0,28.3,0.597,0.591,11.5,37.7,122.0,95.0,27.1,False,False
Lebron James,2007-2008,CLE,0,CHA,2008-01-11,W,49:36,10.0,20.0,0.5,2.0,7.0,0.286,9.0,15.0,0.6,19.0,8.0,4.0,3.0,8.0,31.0,32.7,0.583,0.55,19.7,33.0,105.0,86.0,28.8,False,False
Lebron James,2007-2008,CLE,@,MEM,2008-01-15,W,47:10,18.0,28.0,0.643,6.0,12.0,0.5,9.0,16.0,0.563,8.0,9.0,3.0,1.0,4.0,51.0,36.6,0.728,0.75,11.2,36.4,145.0,116.0,45.0,False,False
Lebron James,2007-2008,CLE,@,SAS,2008-01-17,W,38:54,9.0,24.0,0.375,1.0,5.0,0.2,8.0,12.0,0.667,9.0,7.0,0.0,2.0,3.0,27.0,40.0,0.461,0.396,13.1,36.1,105.0,103.0,19.0,False,False
Lebron James,2007-2008,CLE,@,MIA,2008-01-21,W,39:40,11.0,26.0,0.423,1.0,4.0,0.25,5.0,5.0,1.0,3.0,5.0,4.0,1.0,5.0,28.0,37.4,0.496,0.442,4.6,22.7,101.0,97.0,17.1,False,False
Lebron James,2007-2008,CLE,0,WAS,2008-01-23,W,31:08,7.0,13.0,0.538,1.0,3.0,0.333,8.0,9.0,0.889,8.0,8.0,2.0,1.0,0.0,23.0,26.3,0.678,0.577,15.0,34.1,166.0,92.0,27.0,False,False
Lebron James,2007-2008,CLE,0,PHO,2008-01-25,L,39:26,14.0,30.0,0.467,0.0,1.0,0.0,8.0,10.0,0.8,7.0,5.0,2.0,0.0,1.0,36.0,38.9,0.523,0.467,11.5,25.4,122.0,123.0,26.0,False,False
Lebron James,2007-2008,CLE,@,LAL,2008-01-27,W,44:08,16.0,32.0,0.5,1.0,5.0,0.2,8.0,12.0,0.667,9.0,4.0,2.0,0.0,5.0,41.0,42.9,0.55,0.516,11.3,21.1,107.0,103.0,25.5,False,False
Lebron James,2007-2008,CLE,@,POR,2008-01-30,W,43:53,13.0,29.0,0.448,3.0,6.0,0.5,8.0,12.0,0.667,14.0,4.0,2.0,2.0,4.0,37.0,42.6,0.54,0.5,16.6,29.6,106.0,86.0,26.3,False,False
Lebron James,2007-2008,CLE,@,SEA,2008-01-31,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
Lebron James,2007-2008,CLE,0,LAC,2008-02-02,W,43:48,8.0,19.0,0.421,1.0,4.0,0.25,11.0,16.0,0.688,11.0,7.0,2.0,1.0,3.0,28.0,32.0,0.538,0.447,14.2,29.2,115.0,92.0,23.0,False,False
Lebron James,2007-2008,CLE,0,BOS,2008-02-05,W,42:24,11.0,21.0,0.524,4.0,8.0,0.5,7.0,10.0,0.7,9.0,12.0,5.0,2.0,7.0,33.0,33.0,0.65,0.619,15.0,49.3,123.0,110.0,30.4,False,False
Lebron James,2007-2008,CLE,@,HOU,2008-02-07,L,41:13,12.0,23.0,0.522,2.0,5.0,0.4,6.0,11.0,0.545,7.0,6.0,2.0,2.0,3.0,32.0,39.2,0.575,0.565,9.1,41.0,111.0,108.0,25.8,False,False
Lebron James,2007-2008,CLE,@,ATL,2008-02-08,W,44:00,11.0,24.0,0.458,0.0,3.0,0.0,4.0,4.0,1.0,11.0,7.0,2.0,1.0,1.0,26.0,27.6,0.505,0.458,14.3,26.3,124.0,105.0,24.3,False,False
Lebron James,2007-2008,CLE,0,DEN,2008-02-10,L,32:36,11.0,23.0,0.478,2.0,5.0,0.4,6.0,6.0,1.0,5.0,3.0,2.0,0.0,5.0,30.0,37.7,0.585,0.522,7.7,28.0,108.0,117.0,18.9,False,False
Lebron James,2007-2008,CLE,@,ORL,2008-02-11,W,43:51,8.0,15.0,0.533,1.0,2.0,0.5,12.0,15.0,0.8,7.0,10.0,3.0,1.0,5.0,29.0,28.3,0.671,0.567,9.3,37.4,127.0,113.0,27.5,False,False
Lebron James,2007-2008,CLE,0,SAS,2008-02-13,L,42:44,17.0,31.0,0.548,1.0,5.0,0.2,4.0,7.0,0.571,6.0,9.0,0.0,1.0,3.0,39.0,43.4,0.572,0.565,9.2,46.2,119.0,132.0,27.9,False,False
Lebron James,2007-2008,CLE,0,HOU,2008-02-19,L,42:08,7.0,18.0,0.389,4.0,7.0,0.571,8.0,11.0,0.727,13.0,11.0,2.0,0.0,5.0,26.0,30.8,0.569,0.5,16.1,54.4,108.0,97.0,23.6,False,False
Lebron James,2007-2008,CLE,@,IND,2008-02-20,W,43:14,11.0,22.0,0.5,1.0,5.0,0.2,8.0,12.0,0.667,14.0,12.0,2.0,1.0,4.0,31.0,32.5,0.568,0.523,18.5,49.7,122.0,100.0,30.1,False,False
Lebron James,2007-2008,CLE,0,WAS,2008-02-22,W,44:32,11.0,20.0,0.55,2.0,6.0,0.333,9.0,14.0,0.643,15.0,8.0,1.0,1.0,3.0,33.0,32.6,0.631,0.6,21.8,38.9,131.0,103.0,31.0,False,False
Lebron James,2007-2008,CLE,0,MEM,2008-02-24,W,39:02,10.0,17.0,0.588,1.0,4.0,0.25,4.0,5.0,0.8,7.0,11.0,3.0,1.0,6.0,25.0,27.9,0.651,0.618,10.9,45.5,115.0,89.0,23.8,False,False
Lebron James,2007-2008,CLE,@,MIL,2008-02-26,L,37:50,16.0,24.0,0.667,1.0,3.0,0.333,2.0,5.0,0.4,4.0,6.0,0.0,1.0,2.0,35.0,35.0,0.668,0.688,5.9,36.8,129.0,120.0,26.3,False,False
Lebron James,2007-2008,CLE,@,BOS,2008-02-27,L,39:00,7.0,24.0,0.292,1.0,6.0,0.167,11.0,15.0,0.733,8.0,4.0,0.0,0.0,3.0,26.0,38.8,0.425,0.313,12.2,22.0,97.0,107.0,13.4,False,False
Lebron James,2007-2008,CLE,0,MIN,2008-02-29,W,43:35,11.0,22.0,0.5,1.0,4.0,0.25,7.0,9.0,0.778,8.0,13.0,2.0,0.0,3.0,30.0,34.0,0.578,0.523,11.0,59.9,125.0,100.0,28.7,False,False
Lebron James,2007-2008,CLE,0,CHI,2008-03-02,W,39:51,15.0,29.0,0.517,0.0,5.0,0.0,7.0,8.0,0.875,6.0,6.0,1.0,0.0,3.0,37.0,42.2,0.569,0.517,8.7,38.2,116.0,101.0,27.1,False,False
Lebron James,2007-2008,CLE,@,NYK,2008-03-05,W,43:50,16.0,30.0,0.533,7.0,13.0,0.538,11.0,16.0,0.688,8.0,10.0,4.0,0.0,2.0,50.0,39.9,0.675,0.65,11.7,48.7,157.0,116.0,44.0,False,False
Lebron James,2007-2008,CLE,@,CHI,2008-03-06,L,37:55,13.0,27.0,0.481,2.0,8.0,0.25,11.0,12.0,0.917,3.0,1.0,1.0,3.0,4.0,39.0,42.6,0.604,0.519,3.7,7.7,114.0,119.0,25.2,False,False
Lebron James,2007-2008,CLE,0,IND,2008-03-08,W,38:13,11.0,24.0,0.458,5.0,8.0,0.625,11.0,12.0,0.917,11.0,4.0,1.0,2.0,2.0,38.0,34.2,0.649,0.563,15.2,21.7,145.0,105.0,32.5,False,False
Lebron James,2007-2008,CLE,0,POR,2008-03-10,W,43:41,7.0,18.0,0.389,1.0,4.0,0.25,9.0,13.0,0.692,10.0,11.0,1.0,2.0,4.0,24.0,33.3,0.506,0.417,13.6,56.7,106.0,95.0,22.1,False,False
Lebron James,2007-2008,CLE,@,NJN,2008-03-12,L,45:41,12.0,23.0,0.522,2.0,7.0,0.286,16.0,23.0,0.696,11.0,7.0,1.0,2.0,6.0,42.0,38.8,0.634,0.565,14.6,37.9,118.0,108.0,31.7,False,False
Lebron James,2007-2008,CLE,@,WAS,2008-03-13,L,43:23,9.0,22.0,0.409,1.0,7.0,0.143,6.0,8.0,0.75,7.0,7.0,0.0,0.0,7.0,25.0,33.1,0.49,0.432,8.9,32.2,97.0,118.0,11.6,False,False
Lebron James,2007-2008,CLE,0,CHA,2008-03-16,W,41:40,11.0,24.0,0.458,1.0,3.0,0.333,10.0,16.0,0.625,7.0,10.0,1.0,2.0,1.0,33.0,34.9,0.532,0.479,8.8,51.6,124.0,102.0,28.7,False,False
Lebron James,2007-2008,CLE,@,ORL,2008-03-17,L,42:14,11.0,22.0,0.5,1.0,4.0,0.25,7.0,11.0,0.636,9.0,6.0,0.0,1.0,3.0,30.0,32.7,0.559,0.523,12.2,30.3,114.0,113.0,22.4,False,False
Lebron James,2007-2008,CLE,0,DET,2008-03-19,W,41:04,11.0,19.0,0.579,2.0,5.0,0.4,6.0,7.0,0.857,7.0,6.0,1.0,1.0,0.0,30.0,27.2,0.679,0.632,9.6,30.3,154.0,93.0,29.9,False,False
Lebron James,2007-2008,CLE,0,TOR,2008-03-21,W,41:24,14.0,22.0,0.636,1.0,3.0,0.333,0.0,0.0,0.0,12.0,5.0,1.0,0.0,5.0,29.0,31.5,0.659,0.659,16.2,29.3,111.0,92.0,21.9,False,False
Lebron James,2007-2008,CLE,@,MIL,2008-03-22,L,38:35,9.0,25.0,0.36,3.0,9.0,0.333,8.0,10.0,0.8,11.0,4.0,2.0,0.0,4.0,29.0,35.6,0.493,0.42,15.2,21.8,105.0,112.0,18.8,False,False
Lebron James,2007-2008,CLE,0,NOH,2008-03-26,L,40:33,6.0,14.0,0.429,1.0,2.0,0.5,8.0,10.0,0.8,3.0,8.0,2.0,2.0,2.0,21.0,23.5,0.571,0.464,4.4,27.9,132.0,117.0,19.9,False,False
Lebron James,2007-2008,CLE,@,DET,2008-03-29,L,35:18,4.0,17.0,0.235,1.0,5.0,0.2,4.0,6.0,0.667,4.0,5.0,0.0,0.0,5.0,13.0,35.6,0.331,0.265,6.8,31.5,63.0,110.0,1.6,False,False
Lebron James,2007-2008,CLE,0,PHI,2008-03-30,W,41:47,11.0,18.0,0.611,1.0,2.0,0.5,3.0,3.0,1.0,9.0,9.0,3.0,1.0,1.0,26.0,23.1,0.673,0.639,12.8,40.8,148.0,96.0,29.1,False,False
Lebron James,2007-2008,CLE,@,CHA,2008-04-02,W,31:13,11.0,19.0,0.579,1.0,4.0,0.25,6.0,6.0,1.0,4.0,5.0,3.0,2.0,4.0,29.0,35.2,0.67,0.605,7.2,26.4,126.0,113.0,23.6,False,False
Lebron James,2007-2008,CLE,0,CHI,2008-04-03,L,38:30,10.0,24.0,0.417,3.0,7.0,0.429,10.0,14.0,0.714,5.0,4.0,2.0,2.0,3.0,33.0,38.8,0.547,0.479,8.4,19.5,112.0,108.0,21.7,False,False
Lebron James,2007-2008,CLE,0,ORL,2008-04-05,L,42:22,6.0,22.0,0.273,1.0,5.0,0.2,4.0,8.0,0.5,7.0,9.0,2.0,2.0,5.0,17.0,30.5,0.333,0.295,9.8,37.5,82.0,113.0,10.8,False,False
Lebron James,2007-2008,CLE,0,NJN,2008-04-09,W,35:22,11.0,21.0,0.524,1.0,4.0,0.25,10.0,13.0,0.769,7.0,8.0,1.0,2.0,0.0,33.0,34.7,0.618,0.548,11.0,51.5,147.0,96.0,32.4,False,False
Lebron James,2007-2008,CLE,@,CHI,2008-04-11,L,38:11,13.0,21.0,0.619,2.0,6.0,0.333,6.0,12.0,0.5,6.0,2.0,3.0,0.0,3.0,34.0,33.9,0.647,0.667,8.9,13.5,115.0,102.0,24.5,False,False
Lebron James,2007-2008,CLE,0,MIA,2008-04-13,W,35:15,3.0,9.0,0.333,0.0,1.0,0.0,7.0,9.0,0.778,11.0,7.0,1.0,2.0,5.0,13.0,24.5,0.502,0.333,17.4,39.9,91.0,86.0,12.3,False,False
Lebron James,2007-2008,CLE,@,PHI,2008-04-14,W,41:41,10.0,18.0,0.556,1.0,2.0,0.5,6.0,12.0,0.5,4.0,5.0,2.0,1.0,5.0,27.0,31.9,0.58,0.583,5.4,22.6,105.0,101.0,17.6,False,False
Lebron James,2007-2008,CLE,0,DET,2008-04-16,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
Lebron James,2008-2009,CLE,@,BOS,2008-10-28,L,36:00,9.0,21.0,0.429,0.0,4.0,0.0,4.0,8.0,0.5,7.0,6.0,2.0,1.0,3.0,22.0,35.4,0.449,0.429,12.1,47.1,93.0,92.0,14.1,False,False
Lebron James,2008-2009,CLE,0,CHA,2008-10-30,W,30:16,7.0,15.0,0.467,0.0,2.0,0.0,8.0,12.0,0.667,9.0,9.0,0.0,1.0,5.0,22.0,40.2,0.542,0.467,17.8,59.7,111.0,94.0,17.0,False,False
Lebron James,2008-2009,CLE,@,NOH,2008-11-01,L,37:43,6.0,15.0,0.4,0.0,3.0,0.0,3.0,4.0,0.75,7.0,13.0,3.0,0.0,5.0,15.0,27.6,0.447,0.4,12.4,58.3,100.0,108.0,15.3,False,False
Lebron James,2008-2009,CLE,@,DAL,2008-11-03,W,34:08,8.0,20.0,0.4,0.0,2.0,0.0,13.0,15.0,0.867,8.0,3.0,2.0,1.0,1.0,29.0,37.7,0.545,0.4,12.9,17.8,131.0,93.0,24.0,False,False
Lebron James,2008-2009,CLE,0,CHI,2008-11-05,W,35:50,13.0,23.0,0.565,0.0,2.0,0.0,15.0,16.0,0.938,9.0,6.0,4.0,0.0,5.0,41.0,43.3,0.682,0.565,14.9,41.0,130.0,92.0,36.0,False,False
Lebron James,2008-2009,CLE,0,IND,2008-11-07,W,39:20,11.0,24.0,0.458,1.0,6.0,0.167,4.0,7.0,0.571,9.0,8.0,1.0,4.0,4.0,27.0,36.4,0.499,0.479,14.8,36.7,104.0,108.0,21.5,False,False
Lebron James,2008-2009,CLE,@,CHI,2008-11-08,W,39:12,13.0,29.0,0.448,4.0,7.0,0.571,11.0,13.0,0.846,13.0,4.0,0.0,0.0,2.0,41.0,42.7,0.59,0.517,21.5,22.2,134.0,109.0,31.0,False,False
Lebron James,2008-2009,CLE,0,MIL,2008-11-11,W,42:46,16.0,24.0,0.667,1.0,4.0,0.25,8.0,10.0,0.8,5.0,6.0,3.0,0.0,2.0,41.0,35.9,0.722,0.688,6.9,39.5,140.0,104.0,35.7,False,False
Lebron James,2008-2009,CLE,0,DEN,2008-11-13,W,38:02,10.0,20.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,8.0,11.0,3.0,0.0,5.0,22.0,35.1,0.506,0.5,15.1,40.4,102.0,108.0,18.1,False,False
Lebron James,2008-2009,CLE,0,UTA,2008-11-15,W,42:03,13.0,21.0,0.619,3.0,7.0,0.429,9.0,11.0,0.818,5.0,7.0,2.0,2.0,2.0,38.0,31.0,0.735,0.69,7.4,37.8,153.0,108.0,35.9,False,False
Lebron James,2008-2009,CLE,@,NJN,2008-11-18,W,35:58,9.0,20.0,0.45,1.0,4.0,0.25,12.0,17.0,0.706,8.0,4.0,0.0,1.0,3.0,31.0,39.3,0.564,0.475,12.0,25.4,115.0,92.0,20.3,False,False
Lebron James,2008-2009,CLE,@,DET,2008-11-19,L,39:30,8.0,21.0,0.381,0.0,4.0,0.0,9.0,10.0,0.9,6.0,6.0,4.0,0.0,3.0,25.0,35.2,0.492,0.381,10.0,34.3,106.0,104.0,20.1,False,False
Lebron James,2008-2009,CLE,0,ATL,2008-11-22,W,36:35,8.0,19.0,0.421,1.0,4.0,0.25,7.0,7.0,1.0,7.0,8.0,2.0,0.0,2.0,24.0,31.9,0.543,0.447,11.8,34.4,124.0,107.0,20.8,False,False
Lebron James,2008-2009,CLE,@,NYK,2008-11-25,W,30:20,7.0,14.0,0.5,3.0,7.0,0.429,9.0,11.0,0.818,4.0,1.0,1.0,1.0,1.0,26.0,29.1,0.69,0.607,7.0,4.3,141.0,107.0,20.8,False,False
Lebron James,2008-2009,CLE,0,OKC,2008-11-26,W,17:08,7.0,12.0,0.583,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,14.0,32.9,0.583,0.583,11.4,33.1,130.0,76.0,14.5,False,False
Lebron James,2008-2009,CLE,0,GSW,2008-11-28,W,30:39,9.0,13.0,0.692,3.0,4.0,0.75,2.0,4.0,0.5,7.0,8.0,3.0,1.0,2.0,23.0,22.8,0.779,0.808,11.7,43.3,150.0,92.0,25.7,False,False
Lebron James,2008-2009,CLE,@,MIL,2008-11-29,W,41:22,12.0,27.0,0.444,1.0,5.0,0.2,7.0,10.0,0.7,7.0,5.0,2.0,1.0,3.0,32.0,35.5,0.51,0.463,8.9,23.1,110.0,91.0,21.2,False,False
Lebron James,2008-2009,CLE,0,NYK,2008-12-03,W,28:09,5.0,10.0,0.5,1.0,4.0,0.25,10.0,10.0,1.0,5.0,6.0,5.0,1.0,0.0,21.0,21.5,0.729,0.55,9.8,29.7,170.0,70.0,27.4,False,False
Lebron James,2008-2009,CLE,0,IND,2008-12-05,W,37:37,4.0,12.0,0.333,0.0,4.0,0.0,3.0,4.0,0.75,8.0,11.0,1.0,3.0,2.0,11.0,21.5,0.4,0.333,13.1,42.7,109.0,84.0,15.0,False,False
Lebron James,2008-2009,CLE,@,CHA,2008-12-06,W,27:40,8.0,17.0,0.471,2.0,4.0,0.5,7.0,8.0,0.875,5.0,4.0,2.0,2.0,3.0,25.0,41.7,0.609,0.529,11.9,38.3,123.0,82.0,20.2,False,False
Lebron James,2008-2009,CLE,0,TOR,2008-12-09,W,30:24,11.0,18.0,0.611,2.0,5.0,0.4,7.0,8.0,0.875,5.0,4.0,3.0,0.0,2.0,31.0,34.3,0.72,0.667,10.1,24.6,140.0,95.0,27.3,False,False
Lebron James,2008-2009,CLE,@,PHI,2008-12-10,W,39:04,10.0,22.0,0.455,2.0,6.0,0.333,7.0,8.0,0.875,4.0,5.0,0.0,2.0,1.0,29.0,30.5,0.568,0.5,5.6,22.2,129.0,106.0,21.5,False,False
Lebron James,2008-2009,CLE,0,PHI,2008-12-12,W,36:50,9.0,21.0,0.429,1.0,4.0,0.25,9.0,12.0,0.75,7.0,7.0,1.0,3.0,0.0,28.0,34.4,0.533,0.452,11.5,45.0,130.0,85.0,26.2,False,False
Lebron James,2008-2009,CLE,@,ATL,2008-12-13,L,45:40,10.0,19.0,0.526,2.0,7.0,0.286,11.0,12.0,0.917,6.0,9.0,4.0,1.0,1.0,33.0,27.4,0.68,0.579,8.5,40.3,150.0,114.0,35.1,False,False
Lebron James,2008-2009,CLE,@,MIN,2008-12-17,W,39:38,14.0,20.0,0.7,2.0,6.0,0.333,2.0,4.0,0.5,6.0,3.0,2.0,2.0,0.0,32.0,28.9,0.735,0.75,9.1,15.8,150.0,80.0,29.7,False,False
Lebron James,2008-2009,CLE,@,DEN,2008-12-19,W,38:45,13.0,20.0,0.65,0.0,2.0,0.0,7.0,8.0,0.875,10.0,8.0,0.0,0.0,6.0,33.0,34.0,0.702,0.65,16.3,41.5,123.0,97.0,26.4,False,False
Lebron James,2008-2009,CLE,@,OKC,2008-12-21,W,42:46,14.0,24.0,0.583,2.0,4.0,0.5,1.0,2.0,0.5,4.0,7.0,3.0,1.0,3.0,31.0,33.4,0.623,0.625,6.2,29.9,123.0,106.0,26.6,False,False
Lebron James,2008-2009,CLE,0,HOU,2008-12-23,W,38:20,11.0,23.0,0.478,0.0,3.0,0.0,5.0,7.0,0.714,9.0,5.0,3.0,1.0,7.0,27.0,41.6,0.518,0.478,15.4,25.8,93.0,94.0,17.0,False,False
Lebron James,2008-2009,CLE,0,WAS,2008-12-25,W,38:13,6.0,13.0,0.462,0.0,2.0,0.0,6.0,10.0,0.6,5.0,6.0,3.0,1.0,3.0,18.0,25.3,0.517,0.462,7.7,32.1,103.0,94.0,15.7,False,False
Lebron James,2008-2009,CLE,0,MIA,2008-12-28,W,42:31,12.0,19.0,0.632,2.0,4.0,0.5,7.0,12.0,0.583,6.0,9.0,0.0,1.0,2.0,33.0,27.9,0.68,0.684,7.6,58.2,137.0,98.0,28.9,False,False
Lebron James,2008-2009,CLE,@,MIA,2008-12-30,L,43:29,12.0,24.0,0.5,3.0,8.0,0.375,11.0,14.0,0.786,2.0,7.0,0.0,2.0,5.0,38.0,40.9,0.63,0.563,2.9,39.1,118.0,127.0,25.9,False,False
Lebron James,2008-2009,CLE,0,CHI,2009-01-02,W,37:16,3.0,8.0,0.375,2.0,3.0,0.667,8.0,8.0,1.0,10.0,11.0,2.0,3.0,5.0,16.0,19.1,0.694,0.5,13.8,39.2,123.0,90.0,21.4,False,False
Lebron James,2008-2009,CLE,@,WAS,2009-01-04,L,40:46,11.0,22.0,0.5,3.0,9.0,0.333,5.0,8.0,0.625,6.0,10.0,1.0,2.0,7.0,30.0,39.4,0.588,0.568,8.1,78.2,104.0,91.0,20.4,False,False
Lebron James,2008-2009,CLE,0,CHA,2009-01-07,W,30:59,9.0,16.0,0.563,0.0,1.0,0.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,4.0,21.0,33.2,0.606,0.563,8.4,20.0,107.0,87.0,16.4,False,False
Lebron James,2008-2009,CLE,0,BOS,2009-01-09,W,35:49,13.0,25.0,0.52,3.0,7.0,0.429,9.0,9.0,1.0,7.0,6.0,4.0,3.0,3.0,38.0,47.3,0.656,0.58,13.0,51.6,127.0,88.0,34.7,False,False
Lebron James,2008-2009,CLE,@,MEM,2009-01-13,W,40:12,9.0,15.0,0.6,1.0,5.0,0.2,11.0,14.0,0.786,11.0,10.0,3.0,1.0,2.0,30.0,29.6,0.709,0.633,17.3,47.3,147.0,90.0,33.1,False,False
Lebron James,2008-2009,CLE,@,CHI,2009-01-15,L,44:19,8.0,28.0,0.286,1.0,6.0,0.167,11.0,16.0,0.688,14.0,7.0,1.0,1.0,8.0,28.0,48.6,0.4,0.304,19.2,35.7,81.0,101.0,12.0,False,False
Lebron James,2008-2009,CLE,0,NOH,2009-01-16,W,42:59,12.0,24.0,0.5,0.0,2.0,0.0,5.0,6.0,0.833,14.0,7.0,3.0,1.0,4.0,29.0,36.9,0.544,0.5,19.1,42.0,111.0,85.0,25.4,False,False
Lebron James,2008-2009,CLE,@,LAL,2009-01-19,L,42:10,9.0,25.0,0.36,1.0,5.0,0.2,4.0,8.0,0.5,9.0,4.0,4.0,1.0,6.0,23.0,38.8,0.403,0.38,11.9,19.2,81.0,113.0,12.1,False,False
Lebron James,2008-2009,CLE,@,POR,2009-01-21,W,42:02,14.0,30.0,0.467,3.0,6.0,0.5,3.0,4.0,0.75,7.0,14.0,1.0,0.0,2.0,34.0,39.5,0.535,0.517,10.8,63.9,126.0,112.0,28.7,False,False
Lebron James,2008-2009,CLE,@,GSW,2009-01-23,W,40:39,10.0,24.0,0.417,2.0,5.0,0.4,10.0,16.0,0.625,9.0,8.0,3.0,2.0,2.0,32.0,35.5,0.515,0.458,11.7,39.0,114.0,102.0,27.5,False,False
Lebron James,2008-2009,CLE,@,UTA,2009-01-24,W,41:08,14.0,27.0,0.519,1.0,6.0,0.167,4.0,6.0,0.667,14.0,9.0,1.0,0.0,2.0,33.0,37.4,0.557,0.537,19.9,44.4,124.0,107.0,29.6,False,False
Lebron James,2008-2009,CLE,0,SAC,2009-01-27,W,37:31,5.0,10.0,0.5,0.0,2.0,0.0,13.0,15.0,0.867,15.0,11.0,0.0,3.0,2.0,23.0,21.7,0.693,0.5,25.9,46.0,162.0,119.0,31.1,False,False
Lebron James,2008-2009,CLE,@,ORL,2009-01-29,L,37:41,10.0,27.0,0.37,0.0,2.0,0.0,3.0,6.0,0.5,8.0,8.0,1.0,1.0,2.0,23.0,41.6,0.388,0.37,11.7,47.9,88.0,112.0,14.6,False,False
Lebron James,2008-2009,CLE,0,LAC,2009-01-30,W,37:08,9.0,17.0,0.529,2.0,4.0,0.5,5.0,6.0,0.833,7.0,6.0,3.0,1.0,3.0,25.0,28.5,0.636,0.588,11.3,25.5,125.0,97.0,22.5,False,False
Lebron James,2008-2009,CLE,@,DET,2009-02-01,W,38:50,12.0,25.0,0.48,3.0,8.0,0.375,6.0,11.0,0.545,4.0,8.0,1.0,1.0,5.0,33.0,45.2,0.553,0.54,6.4,49.0,113.0,101.0,22.2,False,False
Lebron James,2008-2009,CLE,0,TOR,2009-02-03,W,37:31,9.0,20.0,0.45,2.0,5.0,0.4,13.0,13.0,1.0,7.0,4.0,1.0,2.0,3.0,33.0,38.8,0.642,0.5,12.4,21.8,128.0,97.0,26.1,False,False
Lebron James,2008-2009,CLE,@,NYK,2009-02-04,W,44:03,17.0,33.0,0.515,2.0,7.0,0.286,16.0,19.0,0.842,9.0,11.0,0.0,2.0,3.0,52.0,48.2,0.629,0.545,11.4,64.9,130.0,110.0,42.9,False,False
Lebron James,2008-2009,CLE,0,LAL,2009-02-08,L,40:08,5.0,20.0,0.25,2.0,8.0,0.25,4.0,8.0,0.5,8.0,12.0,0.0,0.0,1.0,16.0,28.1,0.34,0.3,11.4,51.2,103.0,122.0,13.0,False,False
Lebron James,2008-2009,CLE,@,IND,2009-02-10,L,41:10,15.0,21.0,0.714,4.0,7.0,0.571,13.0,14.0,0.929,7.0,4.0,1.0,1.0,7.0,47.0,37.7,0.865,0.81,9.2,28.2,142.0,106.0,37.1,False,False
Lebron James,2008-2009,CLE,0,PHO,2009-02-11,W,33:17,9.0,18.0,0.5,1.0,5.0,0.2,7.0,8.0,0.875,6.0,6.0,2.0,1.0,3.0,26.0,31.3,0.604,0.528,11.1,30.9,127.0,97.0,22.7,False,False
Lebron James,2008-2009,CLE,@,TOR,2009-02-18,W,33:12,9.0,17.0,0.529,0.0,3.0,0.0,2.0,2.0,1.0,9.0,9.0,1.0,1.0,5.0,20.0,34.4,0.559,0.529,16.3,48.2,103.0,81.0,17.4,False,False
Lebron James,2008-2009,CLE,@,MIL,2009-02-20,W,40:04,16.0,29.0,0.552,8.0,11.0,0.727,15.0,22.0,0.682,5.0,9.0,0.0,0.0,6.0,55.0,50.4,0.711,0.69,8.3,57.3,137.0,115.0,39.3,False,False
Lebron James,2008-2009,CLE,0,DET,2009-02-22,W,30:34,6.0,13.0,0.462,0.0,3.0,0.0,8.0,10.0,0.8,5.0,9.0,2.0,1.0,0.0,20.0,29.5,0.575,0.462,8.5,55.3,140.0,91.0,23.0,False,False
Lebron James,2008-2009,CLE,0,MEM,2009-02-24,W,29:40,4.0,10.0,0.4,1.0,2.0,0.5,6.0,8.0,0.75,5.0,8.0,0.0,1.0,2.0,15.0,25.4,0.555,0.45,10.8,52.8,124.0,96.0,14.2,False,False
Lebron James,2008-2009,CLE,@,HOU,2009-02-26,L,33:51,7.0,21.0,0.333,2.0,5.0,0.4,5.0,6.0,0.833,1.0,0.0,1.0,2.0,3.0,21.0,38.9,0.444,0.381,1.8,0.0,87.0,112.0,6.8,False,False
